date,payload,created_at
2024-12-09,"{""date"": ""2024-12-09"", ""layer1"": {""dxy"": 126.8394, ""dxy_trend_30d"": ""Uptrend"", ""liquidity_change_30d_b"": -35.34, ""liquidity_billions"": 5953.28}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.791357
2024-12-10,"{""date"": ""2024-12-10"", ""layer1"": {""dxy"": 127.1884, ""dxy_trend_30d"": ""Uptrend"", ""liquidity_change_30d_b"": -57.16, ""liquidity_billions"": 5931.47}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.794277
2024-12-11,"{""date"": ""2024-12-11"", ""layer1"": {""dxy"": 127.095, ""dxy_trend_30d"": ""flat"", ""liquidity_change_30d_b"": NaN, ""liquidity_billions"": 5942.3}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.796292
2024-12-12,"{""date"": ""2024-12-12"", ""layer1"": {""dxy"": 127.2039, ""dxy_trend_30d"": ""Uptrend"", ""liquidity_change_30d_b"": -16.04, ""liquidity_billions"": 5957.39}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.798650
2024-12-13,"{""date"": ""2024-12-13"", ""layer1"": {""dxy"": 127.5569, ""dxy_trend_30d"": ""Uptrend"", ""liquidity_change_30d_b"": 89.83, ""liquidity_billions"": 5986.64}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.801070
2024-12-16,"{""date"": ""2024-12-16"", ""layer1"": {""dxy"": 127.5235, ""dxy_trend_30d"": ""Uptrend"", ""liquidity_change_30d_b"": 49.14, ""liquidity_billions"": 6011.66}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.802975
2024-12-17,"{""date"": ""2024-12-17"", ""layer1"": {""dxy"": 127.7565, ""dxy_trend_30d"": ""Uptrend"", ""liquidity_change_30d_b"": 41.8, ""liquidity_billions"": 6004.32}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.804475
2024-12-18,"{""date"": ""2024-12-18"", ""layer1"": {""dxy"": 127.8936, ""dxy_trend_30d"": ""Uptrend"", ""liquidity_change_30d_b"": 54.86, ""liquidity_billions"": 5989.75}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.805948
2024-12-19,"{""date"": ""2024-12-19"", ""layer1"": {""dxy"": 128.8598, ""dxy_trend_30d"": ""Uptrend"", ""liquidity_change_30d_b"": 74.72, ""liquidity_billions"": 6008.98}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.807148
2024-12-20,"{""date"": ""2024-12-20"", ""layer1"": {""dxy"": 128.1411, ""dxy_trend_30d"": ""Uptrend"", ""liquidity_change_30d_b"": 68.98, ""liquidity_billions"": 6023.04}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.809061
2024-12-23,"{""date"": ""2024-12-23"", ""layer1"": {""dxy"": 128.5356, ""dxy_trend_30d"": ""Uptrend"", ""liquidity_change_30d_b"": 37.79, ""liquidity_billions"": 6005.4}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.810366
2024-12-24,"{""date"": ""2024-12-24"", ""layer1"": {""dxy"": 128.5651, ""dxy_trend_30d"": ""Uptrend"", ""liquidity_change_30d_b"": -27.19, ""liquidity_billions"": 5940.41}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.811501
2024-12-25,"{""date"": ""2024-12-25"", ""layer1"": {""dxy"": NaN, ""dxy_trend_30d"": ""flat"", ""liquidity_change_30d_b"": NaN, ""liquidity_billions"": NaN}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.812512
2024-12-26,"{""date"": ""2024-12-26"", ""layer1"": {""dxy"": 128.5679, ""dxy_trend_30d"": ""Uptrend"", ""liquidity_change_30d_b"": -98.66, ""liquidity_billions"": 5924.38}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.813543
2024-12-27,"{""date"": ""2024-12-27"", ""layer1"": {""dxy"": 128.6972, ""dxy_trend_30d"": ""Uptrend"", ""liquidity_change_30d_b"": -107.62, ""liquidity_billions"": 5852.45}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.814599
2024-12-30,"{""date"": ""2024-12-30"", ""layer1"": {""dxy"": 129.0474, ""dxy_trend_30d"": ""Uptrend"", ""liquidity_change_30d_b"": -71.81, ""liquidity_billions"": 5860.45}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.815630
2024-12-31,"{""date"": ""2024-12-31"", ""layer1"": {""dxy"": 129.488, ""dxy_trend_30d"": ""Uptrend"", ""liquidity_change_30d_b"": -284.53, ""liquidity_billions"": 5647.73}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.816674
2025-01-01,"{""date"": ""2025-01-01"", ""layer1"": {""dxy"": NaN, ""dxy_trend_30d"": ""flat"", ""liquidity_change_30d_b"": NaN, ""liquidity_billions"": NaN}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.817693
2025-01-02,"{""date"": ""2025-01-02"", ""layer1"": {""dxy"": 129.6666, ""dxy_trend_30d"": ""Uptrend"", ""liquidity_change_30d_b"": -75.56, ""liquidity_billions"": 5892.76}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.818743
2025-01-03,"{""date"": ""2025-01-03"", ""layer1"": {""dxy"": 129.6721, ""dxy_trend_30d"": ""Uptrend"", ""liquidity_change_30d_b"": -48.2, ""liquidity_billions"": 5895.24}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.819775
2025-01-06,"{""date"": ""2025-01-06"", ""layer1"": {""dxy"": 128.7878, ""dxy_trend_30d"": ""Uptrend"", ""liquidity_change_30d_b"": -75.61, ""liquidity_billions"": 5900.69}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.820793
2025-01-07,"{""date"": ""2025-01-07"", ""layer1"": {""dxy"": 128.8574, ""dxy_trend_30d"": ""Uptrend"", ""liquidity_change_30d_b"": -51.98, ""liquidity_billions"": 5924.32}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.822178
2025-01-08,"{""date"": ""2025-01-08"", ""layer1"": {""dxy"": 129.3038, ""dxy_trend_30d"": ""Uptrend"", ""liquidity_change_30d_b"": 62.49, ""liquidity_billions"": 6015.77}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.823745
2025-01-09,"{""date"": ""2025-01-09"", ""layer1"": {""dxy"": 129.4927, ""dxy_trend_30d"": ""Uptrend"", ""liquidity_change_30d_b"": 101.22, ""liquidity_billions"": 6032.69}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.824823
2025-01-10,"{""date"": ""2025-01-10"", ""layer1"": {""dxy"": 130.0513, ""dxy_trend_30d"": ""Uptrend"", ""liquidity_change_30d_b"": 79.82, ""liquidity_billions"": 6022.12}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.825889
2025-01-13,"{""date"": ""2025-01-13"", ""layer1"": {""dxy"": 130.2142, ""dxy_trend_30d"": ""Uptrend"", ""liquidity_change_30d_b"": 30.61, ""liquidity_billions"": 6017.25}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.826956
2025-01-14,"{""date"": ""2025-01-14"", ""layer1"": {""dxy"": 129.5812, ""dxy_trend_30d"": ""Uptrend"", ""liquidity_change_30d_b"": 54.06, ""liquidity_billions"": 6040.7}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.828450
2025-01-15,"{""date"": ""2025-01-15"", ""layer1"": {""dxy"": 129.4107, ""dxy_trend_30d"": ""Uptrend"", ""liquidity_change_30d_b"": 61.2, ""liquidity_billions"": 6072.87}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.829495
2025-01-16,"{""date"": ""2025-01-16"", ""layer1"": {""dxy"": 129.6284, ""dxy_trend_30d"": ""Uptrend"", ""liquidity_change_30d_b"": 94.03, ""liquidity_billions"": 6098.36}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.830497
