交易对,交易ID,订单ID,价格,数量,成交额,手续费,手续费币种,时间,是否买方,是否做市商,是否逐仓,持仓方向
ETHUSDT,199007825,7603573525,2840.01,0.008,22.72008,0.00908803,USDT,2025-12-01 18:20:21,false,false,false,SHORT
ETHUSDT,199007826,7603573525,2840,3.467,9846.28,3.938512,USDT,2025-12-01 18:20:21,false,false,false,SHORT
ETHUSDT,199013633,7603584332,2842.64,0.008,22.74112,0.00909644,USDT,2025-12-01 19:02:40,true,false,false,SHORT
ETHUSDT,199013634,7603584332,2842.65,3.467,9855.46755,3.94218702,USDT,2025-12-01 19:02:40,true,false,false,SHORT
ETHUSDT,199051533,7603654157,2774.12,0.008,22.19296,0.00887718,USDT,2025-12-01 23:26:40,false,false,false,SHORT
ETHUSDT,199051534,7603654157,2774.11,2.197,6094.71967,2.43788786,USDT,2025-12-01 23:26:40,false,false,false,SHORT
ETHUSDT,199062547,7603674544,2731.69,0.008,21.85352,0.0087414,USDT,2025-12-02 00:23:23,true,false,false,SHORT
ETHUSDT,199062548,7603674544,2731.69,0.024,65.56056,0.02622422,USDT,2025-12-02 00:23:23,true,false,false,SHORT
ETHUSDT,199062549,7603674544,2731.7,2.173,5935.9841,2.37439364,USDT,2025-12-02 00:23:23,true,false,false,SHORT
XRPUSDT,42811175,1194317825,2.0472,6094,12475.6368,4.99025472,USDT,2025-12-01 17:11:52,false,false,false,SHORT
XRPUSDT,42811283,1194317827,2.0475,6094,12477.465,4.990986,USDT,2025-12-01 17:12:56,true,false,false,SHORT
XRPUSDT,42812601,1194321997,2.0442,6106.6,12483.11172,4.99324468,USDT,2025-12-01 17:26:24,false,false,false,SHORT
XRPUSDT,42814579,1194326816,2.0491,6106.6,12513.03406,5.00521362,USDT,2025-12-01 17:44:11,true,false,false,SHORT
XRPUSDT,42822734,1194350383,2.0436,4773,9754.1028,3.90164112,USDT,2025-12-01 19:05:15,true,false,false,LONG
